ship_construction;Construction and Propulsion;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
steamers;Paddle Steamers;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
iron_steamers;Screw-propelled Steamers;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
steamer_shipyard_construction;Steamer Shipyards;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
steamer_shipyard_construction_desc;Building steam ships is no easy task, thus we need to first design a shipyard of the appropriate size to begin construction.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
clipper_shipyard_construction;Clipper Shipyards;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
clipper_shipyard_construction_desc;Building huge ships such as the Man'o'War is no easy task, thus we need to first design a shipyard of the appropriate size to begin construction.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
western_shipyards;Shipyards;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
western_shipyards_l;Shipyards;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
no_western_shipyards;Traditional Shipyards;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
no_western_shipyards_l;Traditional Shipyards;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
no_western_shipyards_desc;Our shipyards are built according to our old traditions.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
yes_western_shipyards;Western Shipyards;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
yes_western_shipyards_l;Western Shipyards;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
yes_western_shipyards_desc;Our shipyards are built by foreign experts, allowing for the construction of ships of a much higher tonnage.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
old_style_family_business_desc;This style of business culture meant that the owners treated the business as a family shop or restaurant. The border between private and business was very unclear. The practice became very emotional and the owners would take much larger risks for their business, but at the cost of professionalism.;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;
switch_to_traditional_academic_title;Renovate The Academia;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
switch_to_traditional_academic_desc;Many within our academic circles feel that the present direction of our academia is misguided and that we should adopt a more traditional academic profile.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
czech_tech_school;Skoda Works;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
japanese_tech_school;Shukensen-Riekisen;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
naval_tech_school;Sea Power & The Merchant Marine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
switch_to_navy_tech_title;Sea Power & The Merchant Marine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
unciv_tech_school;Developing Academia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
genetics_heredity;Genetics: Heredity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
genetics_heredity_desc;Heredity Genetics were a major step towards the understanding of life itself. Gregor Mendel (1822-84) assumed that every trait an organism contains is written down in some material factors and are transferred during the process of reproduction. In experiments with his pea plants he could prove his thesis.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
modern_winemaking;Modern Winemaking;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
modern_winemaking_desc;Although winemaking is a very old process, the proper expertise and equipment needed to make wine production lines is essential for the future of the industry.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
bottling_process;Bottling Process;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
bottling_process_desc;Modern bottling techniques for efficient and proper bottling and distribution of alcohol are needed for the future of the beverages industry.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
schrapnel_standard_design;Schrapnel Standard Design;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
schrapnel_standard_design_desc;Shrapnel shells were anti-personnel artillery munitions which carried a large number of individual bullets close to the target and then ejected them to allow them to continue along the shell's trajectory and strike the target individually. They relied almost entirely on the shell's velocity for their lethality. The final shrapnel shell design bore little similarity to Henry Shrapnel's original design, marking the quick evolution of technology at the time.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
